sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,enable_googlecheckout,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
"1-6923",,Default,"simple","Didaktika/Sport","Default Category",base,,,,"2013-11-11 11:11:11",,,,,N/A,1,,,0,no_selection,,,,,,,,,"Use config","Use config","Štule set od 3",,,"Block after Info Column",,119.0,0,N/A,no_selection,,,,,1,2,no_selection,,"2013-11-14 20:24:38","Štule set od 3","Štule set od 3.html",4,100.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
"1-0",,Default,"simple","Didaktika/Sport","Default Category",base,,,,"2013-11-11 11:11:11",,,,,N/A,1,,,0,no_selection,,,,,,,,,"Use config","Use config","Reketi za tenis",,,"Block after Info Column",,25.0,0,N/A,no_selection,,,,,1,2,no_selection,,"2013-11-14 20:24:38","Reketi za tenis","Reketi za tenis.html",4,100.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
"7-55224",,Default,"simple","Didaktika/Sport","Default Category",base,,,,"2013-11-11 11:11:11",,,,,N/A,1,,,0,no_selection,,,,,,,,,"Use config","Use config","Igra s kolutovima",,,"Block after Info Column",,262.0,0,N/A,no_selection,,,,,1,2,no_selection,,"2013-11-14 20:24:38","Igra s kolutovima","Igra s kolutovima.html",4,100.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
"7-55226",,Default,"simple","Didaktika/Sport","Default Category",base,,,,"2013-11-11 11:11:11",,,,,N/A,1,,,0,no_selection,,,,,,,,,"Use config","Use config","Kuglana",,,"Block after Info Column",,50.0000,0,N/A,no_selection,,,,,1,2,no_selection,,"2013-11-14 20:24:38","Kuglana","Kuglana.html",4,100.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
"15-019",,Default,"simple","Didaktika/Sport","Default Category",base,,,,"2013-11-11 11:11:11",,,,,N/A,1,,,0,no_selection,,,,,,,,,"Use config","Use config","Strunjača 200x100x10",,,"Block after Info Column",,1100.0,0,N/A,no_selection,,,,,1,2,no_selection,,"2013-11-14 20:24:38","Strunjača 200x100x10","Strunjača 200x100x10.html",4,100.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
"17-5588",,Default,"simple","Didaktika/LEGO","Default Category",base,,,,"2013-11-11 11:11:11",,,,,N/A,1,,,0,no_selection,,,,,,,,,"Use config","Use config","Lego u kutiji xxl",,,"Block after Info Column",,360.0,0,N/A,no_selection,,,,,1,2,no_selection,,"2013-11-14 20:24:38","Lego u kutiji xxl","Lego u kutiji xxl.html",4,100.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
"1-1240",,Default,"simple","Didaktika/Igračke za pjesak","Default Category",base,,,,"2013-11-11 11:11:11",,,,,N/A,1,,,0,no_selection,,,,,,,,,"Use config","Use config","Modlice 10-13 cm",,,"Block after Info Column",,4.0,0,N/A,no_selection,,,,,1,2,no_selection,,"2013-11-14 20:24:38","Modlice 10-13 cm","Modlice 10-13 cm.html",4,100.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
"1-1635",,Default,"simple","Didaktika/Igračke za pjesak","Default Category",base,,,,"2013-11-11 11:11:11",,,,,N/A,1,,,0,no_selection,,,,,,,,,"Use config","Use config","Vodenica 30 cm",,,"Block after Info Column",,65.0,0,N/A,no_selection,,,,,1,2,no_selection,,"2013-11-14 20:24:38","Vodenica 30 cm","Vodenica 30 cm.html",4,100.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
"1-1131",,Default,"simple","Didaktika/Igračke za pjesak","Default Category",base,,,,"2013-11-11 11:11:11",,,,,N/A,1,,,0,no_selection,,,,,,,,,"Use config","Use config","Lopatica za brašno",,,"Block after Info Column",,8.0,0,N/A,no_selection,,,,,1,2,no_selection,,"2013-11-14 20:24:38","Lopatica za brašno","Lopatica za brašno.html",4,100.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
"1-1152",,Default,"simple","Didaktika/Igračke za pjesak","Default Category",base,,,,"2013-11-11 11:11:11",,,,,N/A,1,,,0,no_selection,,,,,,,,,"Use config","Use config","Lopatica 50cm",,,"Block after Info Column",,34.0,0,N/A,no_selection,,,,,1,2,no_selection,,"2013-11-14 20:24:38","Lopatica 50cm","Lopatica 50cm.html",4,100.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
"1-1550",,Default,"simple","Didaktika/Igračke za pjesak","Default Category",base,,,,"2013-11-11 11:11:11",,,,,N/A,1,,,0,no_selection,,,,,,,,,"Use config","Use config","Sito fi 20cm, soft",,,"Block after Info Column",,11.0,0,N/A,no_selection,,,,,1,2,no_selection,,"2013-11-14 20:24:38","Sito fi 20cm, soft","Sito fi 20cm, soft.html",4,100.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
"1-1142",,Default,"simple","Didaktika/Igračke za pjesak","Default Category",base,,,,"2013-11-11 11:11:11",,,,,N/A,1,,,0,no_selection,,,,,,,,,"Use config","Use config","Lopatica i grabljice",,,"Block after Info Column",,9.0,0,N/A,no_selection,,,,,1,2,no_selection,,"2013-11-14 20:24:38","Lopatica i grabljice","Lopatica i grabljice.html",4,100.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
"1-1821",,Default,"simple","Didaktika/Igračke za pjesak","Default Category",base,,,,"2013-11-11 11:11:11",,,,,N/A,1,,,0,no_selection,,,,,,,,,"Use config","Use config","Tačke nosivosti 100 kg",,,"Block after Info Column",,160.0,0,N/A,no_selection,,,,,1,2,no_selection,,"2013-11-14 20:24:38","Tačke nosivosti 100 kg","Tačke nosivosti 100 kg.html",4,100.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
"1-1335",,Default,"simple","Didaktika/Igračke za pjesak","Default Category",base,,,,"2013-11-11 11:11:11",,,,,N/A,1,,,0,no_selection,,,,,,,,,"Use config","Use config","Kantica h16 cm",,,"Block after Info Column",,20.0,0,N/A,no_selection,,,,,1,2,no_selection,,"2013-11-14 20:24:38","Kantica h16 cm","Kantica h16 cm.html",4,100.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
"1-1247",,Default,"simple","Didaktika/Igračke za pjesak","Default Category",base,,,,"2013-11-11 11:11:11",,,,,N/A,1,,,0,no_selection,,,,,,,,,"Use config","Use config","Modlice ruke noge",,,"Block after Info Column",,3.5,0,N/A,no_selection,,,,,1,2,no_selection,,"2013-11-14 20:24:38","Modlice ruke noge","Modlice ruke noge.html",4,100.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
"1-1330",,Default,"simple","Didaktika/Igračke za pjesak","Default Category",base,,,,"2013-11-11 11:11:11",,,,,N/A,1,,,0,no_selection,,,,,,,,,"Use config","Use config","Kantica mekana h16 cm",,,"Block after Info Column",,21.0,0,N/A,no_selection,,,,,1,2,no_selection,,"2013-11-14 20:24:38","Kantica mekana h16 cm","Kantica mekana h16 cm.html",4,100.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
"2-1730",,Default,"simple","Didaktika/Igračke za pjesak","Default Category",base,,,,"2013-11-11 11:11:11",,,,,N/A,1,,,0,no_selection,,,,,,,,,"Use config","Use config","Zaljevača 21 cm",,,"Block after Info Column",,28.0,0,N/A,no_selection,,,,,1,2,no_selection,,"2013-11-14 20:24:38","Zaljevača 21 cm","Zaljevača 21 cm.html",4,100.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
"1-6960",,Default,"simple","Didaktika/Igračke za pjesak","Default Category",base,,,,"2013-11-11 11:11:11",,,,,N/A,1,,,0,no_selection,,,,,,,,,"Use config","Use config","Veliki set za pjesak 64 dj.",,,"Block after Info Column",,690.0,0,N/A,no_selection,,,,,1,2,no_selection,,"2013-11-14 20:24:38","Veliki set za pjesak 64 dj.","Veliki set za pjesak 64 dj..html",4,100.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
"1-6948",,Default,"simple","Didaktika/Igračke za pjesak","Default Category",base,,,,"2013-11-11 11:11:11",,,,,N/A,1,,,0,no_selection,,,,,,,,,"Use config","Use config","Velike modlice dvorac 6 dj.",,,"Block after Info Column",,90.0,0,N/A,no_selection,,,,,1,2,no_selection,,"2013-11-14 20:24:38","Velike modlice dvorac 6 dj.","Velike modlice dvorac 6 dj..html",4,100.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
"7-50240",,Default,"simple","Didaktika/Motoričke igre","Default Category",base,,,,"2013-11-11 11:11:11",,,,,N/A,1,,,0,no_selection,,,,,,,,,"Use config","Use config","Nizalice 6 oblika , 20 dj.",,,"Block after Info Column",,135.0,0,N/A,no_selection,,,,,1,2,no_selection,,"2013-11-14 20:24:38","Nizalice 6 oblika , 20 dj.","Nizalice 6 oblika , 20 dj..html",4,100.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
"7-55214",,Default,"simple","Didaktika/Motoričke igre","Default Category",base,,,,"2013-11-11 11:11:11",,,,,N/A,1,,,0,no_selection,,,,,,,,,"Use config","Use config","Magnetna slagalica",,,"Block after Info Column",,175.0,0,N/A,no_selection,,,,,1,2,no_selection,,"2013-11-14 20:24:38","Magnetna slagalica","Magnetna slagalica.html",4,100.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
"7-55017",,Default,"simple","Didaktika/Motoričke igre","Default Category",base,,,,"2013-11-11 11:11:11",,,,,N/A,1,,,0,no_selection,,,,,,,,,"Use config","Use config","Provlaćilica linije",,,"Block after Info Column",,86.0,0,N/A,no_selection,,,,,1,2,no_selection,,"2013-11-14 20:24:38","Provlaćilica linije","Provlaćilica linije.html",4,100.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
"7-55202",,Default,"simple","Didaktika/Motoričke igre","Default Category",base,,,,"2013-11-11 11:11:11",,,,,"11 kocki",1,,,0,no_selection,,,,,,,,,"Use config","Use config","Kocka na kocku",,,"Block after Info Column",,112.0,0,N/A,no_selection,,,,,1,2,no_selection,,"2013-11-14 20:24:38","Kocka na kocku","Kocka na kocku.html",4,100.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
"7-55011",,Default,"simple","Didaktika/Motoričke igre","Default Category",base,,,,"2013-11-11 11:11:11",,,,,"4 podloge",1,,,0,no_selection,,,,,,,,,"Use config","Use config","Početne  vježbe pisanja",,,"Block after Info Column",,352.0,0,N/A,no_selection,,,,,1,2,no_selection,,"2013-11-14 20:24:38","Početne  vježbe pisanja","Početne  vježbe pisanja.html",4,100.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
"7-55210",,Default,"simple","Didaktika/Motoričke igre","Default Category",base,,,,"2013-11-11 11:11:11",,,,,N/A,1,,,0,no_selection,,,,,,,,,"Use config","Use config","Up koka",,,"Block after Info Column",,50.0000,0,N/A,no_selection,,,,,1,2,no_selection,,"2013-11-14 20:24:38","Up koka","Up koka.html",4,100.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
"7-50131",,Default,"simple","Didaktika/Motoričke igre","Default Category",base,,,,"2013-11-11 11:11:11",,,,,N/A,1,,,0,no_selection,,,,,,,,,"Use config","Use config","Radni stol sa alatom",,,"Block after Info Column",,172.0,0,N/A,no_selection,,,,,1,2,no_selection,,"2013-11-14 20:24:38","Radni stol sa alatom","Radni stol sa alatom.html",4,100.0000,10.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
